RiskPerformance,ExternalRiskEstimate,TradeOpenTime,NumSatisfactoryTrades,TradeFrequency,Delinquency,Installment,Inquiry,RevolvingBalance,Utilization,TradeWBalance
-1,0.4756563914369264,0.49435370420120384,0.5156346821685935,0.5415828182022396,0.6030164967605554,0.5636620140635794,0.5868011133412986,0.835711429674763,0.7174682784735843,0.6806507418793508
1,0.4756563914369264,0.2949839573334284,0.5156346821685935,0.45505037828178896,0.5246579134989995,0.7115615106294928,0.5868011133412986,0.2530614926358573,0.6406222917285493,0.4933039481733428
-1,0.4756563914369264,0.36954283977226465,0.5156346821685935,0.42844209132912925,0.3782295496982161,0.4388518952077215,0.542296186179881,0.3848201070553222,0.35992578061346525,0.33042711610134456
1,0.4756563914369264,0.490514498974407,0.5156346821685935,0.42844209132912925,0.6030164967605554,0.45081785215748393,0.6297547766934604,0.3167109767246561,0.5632525210171012,0.4138037402617951
1,0.4756563914369264,0.7229979954897523,0.5156346821685935,0.4801128868304356,0.3782295496982161,0.7349345003460221,0.4665015543257556,0.5930051456020237,0.35992578061346525,0.4933039481733428
1,0.4756563914369264,0.374363364167003,0.5156346821685935,0.42844209132912925,0.3782295496982161,0.43268945316936414,0.41040630968641834,0.5049599799333675,0.5632525210171012,0.4138037402617951
-1,0.8421265397603389,0.6628607273287186,0.5156346821685935,0.6128701721201283,0.7462923521494239,0.45081785215748393,0.7210837994067198,0.500481046007857,0.6388665641301423,0.2840725665121099
-1,0.8421265397603389,0.5386020101503389,0.5156346821685935,0.6128701721201283,0.6614587989587424,0.5636620140635794,0.7210837994067198,0.7066303676326164,0.6406222917285493,0.6806507418793508
1,0.4756563914369264,0.506217477083887,0.5156346821685935,0.5415828182022396,0.3782295496982161,0.4658419018479312,0.4665015543257556,0.400785592572553,0.35992578061346525,0.4138037402617951
-1,0.4756563914369264,0.6201228295469471,0.5156346821685935,0.6989320138672444,0.5496313176706378,0.7445461710138521,0.5760141465683735,0.3848201070553222,0.35992578061346525,0.6806507418793508
-1,0.4756563914369264,0.5449377269263929,0.5156346821685935,0.4801128868304356,0.3782295496982161,0.5467262443904658,0.6631644211479693,0.8468373269071403,0.7356951900455213,0.6806507418793508
1,0.4756563914369264,0.4375584184373441,0.5156346821685935,0.5415828182022396,0.3782295496982161,0.4823508041855803,0.3176281836745878,0.37397331569444237,0.35992578061346525,0.4138037402617951
-1,0.4756563914369264,0.6731796738323836,0.5156346821685935,0.7194909549012691,0.543338001433843,0.5668649178895642,0.6408023034280974,0.6079504303642367,0.6388665641301423,0.6806507418793508
1,0.5464200767817745,0.5426547375331772,0.5424131601703573,0.5419300598929229,0.5431007403418768,0.5425621606250588,0.5429680601991336,0.5427769150428731,0.6388665641301423,0.54195915536649
